Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Leukocyte transendothelial migration_Homo sapiens_hsa04670,3/118,0.008224151155292054,1.0,0,0,7.2639225181598075,34.871768939422545,CLDN24;CLDN7;PIK3CD,KEGG_2016
Hepatitis C_Homo sapiens_hsa05160,3/133,0.011380035745782294,1.0,0,0,6.44468313641246,28.84572315263095,CLDN24;CLDN7;PIK3CD,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,2/111,0.05776011052813745,1.0,0,0,5.148005148005148,14.679314650314595,GNG10;PIK3CD,KEGG_2016
Thyroid hormone signaling pathway_Homo sapiens_hsa04919,2/118,0.0643101023129096,1.0,0,0,4.842615012106537,13.288322265876515,DIO1;PIK3CD,KEGG_2016
Natural killer cell mediated cytotoxicity_Homo sapiens_hsa04650,2/135,0.08117637577608239,1.0,0,0,4.232804232804233,10.629125980374948,PIK3CD;CD244,KEGG_2016
Tight junction_Homo sapiens_hsa04530,2/139,0.08532564195378654,1.0,0,0,4.110996916752312,10.118315562536496,CLDN24;CLDN7,KEGG_2016
Glycosphingolipid biosynthesis - lacto and neolacto series_Homo sapiens_hsa00601,1/26,0.08717985645161683,1.0,0,0,10.989010989010987,26.81079097525226,FUT7,KEGG_2016
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514,2/142,0.08847933855048654,1.0,0,0,4.024144869215292,9.75849584278181,CLDN24;CLDN7,KEGG_2016
Other types of O-glycan biosynthesis_Homo sapiens_hsa00514,1/31,0.10306483535857697,1.0,0,0,9.216589861751153,20.943751329811803,FUT7,KEGG_2016
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960,1/39,0.1279158202874324,1.0,0,0,7.326007326007326,15.065076083635233,PIK3CD,KEGG_2016
Chemokine signaling pathway_Homo sapiens_hsa04062,2/187,0.13938311932998662,1.0,0,0,3.0557677616501144,6.0214786346283,GNG10;PIK3CD,KEGG_2016
Carbohydrate digestion and absorption_Homo sapiens_hsa04973,1/45,0.1461074789542498,1.0,0,0,6.34920634920635,12.212144577039561,PIK3CD,KEGG_2016
Type II diabetes mellitus_Homo sapiens_hsa04930,1/48,0.1550625177486151,1.0,0,0,5.952380952380952,11.094802994458828,PIK3CD,KEGG_2016
Endometrial cancer_Homo sapiens_hsa05213,1/52,0.16685870951617418,1.0,0,0,5.494505494505495,9.83850481027313,PIK3CD,KEGG_2016
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923,1/56,0.1784925347981618,1.0,0,0,5.1020408163265305,8.791880104571629,PIK3CD,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.1784925347981618,1.0,0,0,5.1020408163265305,8.791880104571629,PIK3CD,KEGG_2016
