Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Aldosterone-regulated sodium reabsorption_Homo sapiens_hsa04960,1/39,0.07878687925061875,1.0,0,0,12.210012210012211,31.025748509816502,SCNN1B,KEGG_2016
Adherens junction_Homo sapiens_hsa04520,1/74,0.1443106369676458,1.0,0,0,6.435006435006436,12.456802455981824,SSX2IP,KEGG_2016
Taste transduction_Homo sapiens_hsa04742,1/83,0.16041021882046927,1.0,0,0,5.737234652897304,10.49925919232343,SCNN1B,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.16218070229474546,1.0,0,0,5.6689342403628125,10.312041491688447,CDKN2B,KEGG_2016
Small cell lung cancer_Homo sapiens_hsa05222,1/86,0.16571074221421955,1.0,0,0,5.537098560354375,9.95299849034174,CDKN2B,KEGG_2016
Hematopoietic cell lineage_Homo sapiens_hsa04640,1/88,0.16922626146972133,1.0,0,0,5.4112554112554125,9.613196072629114,CD1A,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,1/124,0.2300879187854229,1.0,0,0,3.840245775729647,5.6424492607957015,CDKN2B,KEGG_2016
FoxO signaling pathway_Homo sapiens_hsa04068,1/133,0.2446097625981013,1.0,0,0,3.5803795202291444,5.041500694676295,CDKN2B,KEGG_2016
RNA transport_Homo sapiens_hsa03013,1/172,0.3045077022556208,1.0,0,0,2.768549280177188,3.2919681544522406,FMR1,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,1/205,0.3515478761465761,1.0,0,0,2.3228803716608595,2.4283609099955723,CDKN2B,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.4206724744880802,1.0,0,0,1.8456995201181248,1.5981925404444888,CDKN2B,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.5695641345611026,1.0,0,0,1.1994722322178242,0.6751635922707373,CDKN2B,KEGG_2016
