Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
p53 signaling pathway_Homo sapiens_hsa04115,2/69,0.007226716992420124,1.0,0,0,15.667841754798276,77.24199650931885,CDKN2A;DDB2,KEGG_2016
Prion diseases_Homo sapiens_hsa05020,1/35,0.06280591956350945,1.0,0,0,15.444015444015445,42.74449342679221,C5,KEGG_2016
Bladder cancer_Homo sapiens_hsa05219,1/41,0.07318011991211305,1.0,0,0,13.183915622940011,34.47371761108893,CDKN2A,KEGG_2016
Cysteine and methionine metabolism_Homo sapiens_hsa00270,1/45,0.08003408946440181,1.0,0,0,12.012012012012011,30.333965366556807,MTAP,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,1/47,0.0834425555494731,1.0,0,0,11.500862564692351,28.563505938677537,DDB2,KEGG_2016
Staphylococcus aureus infection_Homo sapiens_hsa05150,1/56,0.09862920766612056,1.0,0,0,9.652509652509652,22.358955959892143,C5,KEGG_2016
Non-small cell lung cancer_Homo sapiens_hsa05223,1/56,0.09862920766612056,1.0,0,0,9.652509652509652,22.358955959892143,CDKN2A,KEGG_2016
Glioma_Homo sapiens_hsa05214,1/65,0.11357092133098767,1.0,0,0,8.316008316008316,18.090043905705823,CDKN2A,KEGG_2016
Pancreatic cancer_Homo sapiens_hsa05212,1/66,0.11521615954928617,1.0,0,0,8.190008190008191,17.69815943237079,CDKN2A,KEGG_2016
Inositol phosphate metabolism_Homo sapiens_hsa00562,1/71,0.1233978865403968,1.0,0,0,7.613247049866768,15.929511188113265,PIP5KL1,KEGG_2016
Melanoma_Homo sapiens_hsa05218,1/71,0.1233978865403968,1.0,0,0,7.613247049866768,15.929511188113265,CDKN2A,KEGG_2016
Chronic myeloid leukemia_Homo sapiens_hsa05220,1/73,0.12664992444548392,1.0,0,0,7.404664938911513,15.300470189530893,CDKN2A,KEGG_2016
Pertussis_Homo sapiens_hsa05133,1/75,0.1298902228088851,1.0,0,0,7.207207207207206,14.71038288431316,C5,KEGG_2016
Complement and coagulation cascades_Homo sapiens_hsa04610,1/79,0.1363357655606339,1.0,0,0,6.842285323297981,13.634174283055305,C5,KEGG_2016
Peroxisome_Homo sapiens_hsa04146,1/83,0.14273484271467868,1.0,0,0,6.512536633018562,12.678388907302532,HACL1,KEGG_2016
Cell cycle_Homo sapiens_hsa04110,1/124,0.20572183907541533,1.0,0,0,4.3591979075850045,6.892895895439277,CDKN2A,KEGG_2016
Systemic lupus erythematosus_Homo sapiens_hsa05322,1/135,0.22183969142755686,1.0,0,0,4.004004004004004,6.029230304881049,C5,KEGG_2016
Ribosome_Homo sapiens_hsa03010,1/137,0.2247358203084048,1.0,0,0,3.945551390806865,5.890036293443747,RPS27L,KEGG_2016
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,1/137,0.2247358203084048,1.0,0,0,3.945551390806865,5.890036293443747,DDB2,KEGG_2016
Hepatitis B_Homo sapiens_hsa05161,1/146,0.23763913772080425,1.0,0,0,3.7023324694557567,5.3202591040781675,DDB2,KEGG_2016
Herpes simplex infection_Homo sapiens_hsa05168,1/185,0.2911797463356244,1.0,0,0,2.9218407596785974,3.605009547106969,C5,KEGG_2016
Viral carcinogenesis_Homo sapiens_hsa05203,1/205,0.3171988154408463,1.0,0,0,2.6367831245880025,3.0276243207698834,CDKN2A,KEGG_2016
HTLV-I infection_Homo sapiens_hsa05166,1/258,0.381736230585308,1.0,0,0,2.0951183741881416,2.017652220254759,CDKN2A,KEGG_2016
Endocytosis_Homo sapiens_hsa04144,1/259,0.3828949642171283,1.0,0,0,2.0870291140561408,2.003536621678776,PIP5KL1,KEGG_2016
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060,1/265,0.38980312199245504,1.0,0,0,2.039775624681285,1.9217001177452335,EDA2R,KEGG_2016
MicroRNAs in cancer_Homo sapiens_hsa05206,1/297,0.42539476050464536,1.0,0,0,1.82000182000182,1.5556241567460003,CDKN2A,KEGG_2016
Pathways in cancer_Homo sapiens_hsa05200,1/397,0.5240826510555128,1.0,0,0,1.3615630744094218,0.8797139030258746,CDKN2A,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,2/1239,0.6771488362174588,1.0,0,0,0.8725432454246013,0.3401733599723442,MTAP;PIP5KL1,KEGG_2016
