Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Propanoate metabolism_Homo sapiens_hsa00640,1/32,0.11620781868289007,1.0,0,0,8.116883116883116,17.470577519483204,BCKDHB,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,2/153,0.11752438811959785,1.0,0,0,3.395297512944572,7.269703449522244,PPP2R2B;BMP7,KEGG_2016
Vasopressin-regulated water reabsorption_Homo sapiens_hsa04962,1/44,0.15625887149614404,1.0,0,0,5.903187721369539,10.957740344758498,AQP4,KEGG_2016
Proteasome_Homo sapiens_hsa03050,1/44,0.15625887149614404,1.0,0,0,5.903187721369539,10.957740344758498,PSMF1,KEGG_2016
"Valine, leucine and isoleucine degradation_Homo sapiens_hsa00280",1/48,0.1692069070108113,1.0,0,0,5.411255411255411,9.613814994947473,BCKDHB,KEGG_2016
Glycerolipid metabolism_Homo sapiens_hsa00561,1/59,0.20381135907901915,1.0,0,0,4.402377283733216,7.002247076131622,PNPLA3,KEGG_2016
Bile secretion_Homo sapiens_hsa04976,1/71,0.2399402944088236,1.0,0,0,3.6583135174684465,5.221749258774184,AQP4,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.27725513006159364,1.0,0,0,3.092145949288806,3.966657852642828,BMP7,KEGG_2016
mRNA surveillance pathway_Homo sapiens_hsa03015,1/91,0.2965926907692667,1.0,0,0,2.854288568574283,3.4690894618986863,PPP2R2B,KEGG_2016
Glucagon signaling pathway_Homo sapiens_hsa04922,1/101,0.3233349233565592,1.0,0,0,2.571685740002572,2.9036044196150286,PHKG1,KEGG_2016
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142,1/104,0.33116009594278145,1.0,0,0,2.4975024975024978,2.7601232442414405,PPP2R2B,KEGG_2016
TNF signaling pathway_Homo sapiens_hsa04668,1/110,0.3465434541312139,1.0,0,0,2.361275088547816,2.50235433168148,ITCH,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,1/120,0.3714099734351279,1.0,0,0,2.1645021645021645,2.1438285212171144,PPP2R2B,KEGG_2016
AMPK signaling pathway_Homo sapiens_hsa04152,1/124,0.3810929668853574,1.0,0,0,2.0946795140343526,2.0207623084359563,PPP2R2B,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,1/129,0.3929898945832693,1.0,0,0,2.0134903855834088,1.880542395997284,PPP2R2B,KEGG_2016
Hepatitis C_Homo sapiens_hsa05160,1/133,0.40234467434918375,1.0,0,0,1.9529342837613517,1.7780415171194262,PPP2R2B,KEGG_2016
Ubiquitin mediated proteolysis_Homo sapiens_hsa04120,1/137,0.4115571287975575,1.0,0,0,1.8959143046734288,1.683206821286078,ITCH,KEGG_2016
Insulin signaling pathway_Homo sapiens_hsa04910,1/139,0.4161106532249495,1.0,0,0,1.868634962160142,1.6384267229031522,PHKG1,KEGG_2016
Tight junction_Homo sapiens_hsa04530,1/139,0.4161106532249495,1.0,0,0,1.868634962160142,1.6384267229031522,PPP2R2B,KEGG_2016
Adrenergic signaling in cardiomyocytes_Homo sapiens_hsa04261,1/148,0.4361748499018832,1.0,0,0,1.7550017550017551,1.4561461638115891,PPP2R2B,KEGG_2016
Non-alcoholic fatty liver disease (NAFLD)_Homo sapiens_hsa04932,1/151,0.4427104803768129,1.0,0,0,1.7201341704652962,1.4016328644652871,ITCH,KEGG_2016
RNA transport_Homo sapiens_hsa03013,1/172,0.4864125330208322,1.0,0,0,1.5101177891875566,1.088339144912049,THOC7,KEGG_2016
Calcium signaling pathway_Homo sapiens_hsa04020,1/180,0.5021557596327069,1.0,0,0,1.443001443001443,0.9940042269320586,PHKG1,KEGG_2016
Endocytosis_Homo sapiens_hsa04144,1/259,0.6341694128137221,1.0,0,0,1.0028581457152883,0.4567408590481973,ITCH,KEGG_2016
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060,1/265,0.6426489514622896,1.0,0,0,0.9801519235481501,0.4333806988598095,BMP7,KEGG_2016
PI3K-Akt signaling pathway_Homo sapiens_hsa04151,1/341,0.7346515537759469,1.0,0,0,0.7617016414670373,0.234877532600374,PPP2R2B,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,2/1239,0.9560496825170436,1.0,0,0,0.419274027022211,0.01884443806630754,BCKDHB;PNPLA3,KEGG_2016
