Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Notch signaling pathway_Homo sapiens_hsa04330,3/48,0.03699867564630308,1.0,0,0,4.084967320261439,13.467619118961071,MAML2;DLL1;DLL3,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,4/84,0.039989653650230605,1.0,0,0,3.1123560535325243,10.01909280133949,BMP2;NOG;ID4;BMPR1A,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,5/129,0.04836854663825617,1.0,0,0,2.533313066828798,7.673165981045461,MAPK8;CACNA1A;PPP2R5A;PLCB1;GRIA4,KEGG_2016
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723,4/101,0.06949686838695585,1.0,0,0,2.5884941435320004,6.902151262815187,MAPK8;CACNA1A;PLCB1;GRIA4,KEGG_2016
Glutamatergic synapse_Homo sapiens_hsa04724,4/114,0.0978480835104316,1.0,0,0,2.2933149868134386,5.330441856040424,CACNA1A;DLGAP1;PLCB1;GRIA4,KEGG_2016
Nicotine addiction_Homo sapiens_hsa05033,2/40,0.12472649551936753,1.0,0,0,3.2679738562091507,6.802718871806558,CACNA1A;GRIA4,KEGG_2016
Endocrine and other factor-regulated calcium reabsorption_Homo sapiens_hsa04961,2/47,0.1615760928716353,1.0,0,0,2.781254345709915,5.069612248616707,DNM3;PLCB1,KEGG_2016
Nucleotide excision repair_Homo sapiens_hsa03420,2/47,0.1615760928716353,1.0,0,0,2.781254345709915,5.069612248616707,ERCC6;MNAT1,KEGG_2016
Type II diabetes mellitus_Homo sapiens_hsa04930,2/48,0.16699250466645724,1.0,0,0,2.7233115468409586,4.874200299045215,MAPK8;CACNA1A,KEGG_2016
cAMP signaling pathway_Homo sapiens_hsa04024,5/199,0.19020507602944348,1.0,0,0,1.6421979176930406,2.7254777833201933,MAPK8;PTGER3;TSHR;GRIA4;SSTR5,KEGG_2016
Regulation of lipolysis in adipocytes_Homo sapiens_hsa04923,2/56,0.21126048628125785,1.0,0,0,2.334267040149393,3.628999474266148,PTGER3;TSHR,KEGG_2016
Nitrogen metabolism_Homo sapiens_hsa00910,1/17,0.23065473203113646,1.0,0,0,3.8446751249519417,5.639497705192358,CPS1,KEGG_2016
Long-term depression_Homo sapiens_hsa04730,2/60,0.23381475868054,1.0,0,0,2.178649237472767,3.16606994923514,CACNA1A;PLCB1,KEGG_2016
Cholinergic synapse_Homo sapiens_hsa04725,3/111,0.2414697453728796,1.0,0,0,1.766472354707649,2.5101768092148733,CACNA1A;KCNQ5;PLCB1,KEGG_2016
Serotonergic synapse_Homo sapiens_hsa04726,3/112,0.24555116744871935,1.0,0,0,1.7507002801120448,2.458420749447773,KCND2;CACNA1A;PLCB1,KEGG_2016
Synaptic vesicle cycle_Homo sapiens_hsa04721,2/63,0.25082232883662386,1.0,0,0,2.074904035688349,2.869613951109634,DNM3;CACNA1A,KEGG_2016
Neuroactive ligand-receptor interaction_Homo sapiens_hsa04080,6/277,0.25122536013713703,1.0,0,0,1.4157287463721953,1.955694618140954,CALCRL;GALR3;PTGER3;TSHR;GRIA4;SSTR5,KEGG_2016
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate_Homo sapiens_hsa00532,1/20,0.2654609411363628,1.0,0,0,3.2679738562091507,4.334273083289233,UST,KEGG_2016
Arginine biosynthesis_Homo sapiens_hsa00220,1/20,0.2654609411363628,1.0,0,0,3.2679738562091507,4.334273083289233,CPS1,KEGG_2016
Sphingolipid signaling pathway_Homo sapiens_hsa04071,3/120,0.27854237086948097,1.0,0,0,1.6339869281045754,2.0885377314045623,MAPK8;PPP2R5A;PLCB1,KEGG_2016
Thyroid hormone synthesis_Homo sapiens_hsa04918,2/71,0.29623513389059597,1.0,0,0,1.841112031667127,2.2399001541966603,PLCB1;TSHR,KEGG_2016
Melanoma_Homo sapiens_hsa05218,2/71,0.29623513389059597,1.0,0,0,1.841112031667127,2.2399001541966603,FGF17;FGF13,KEGG_2016
RNA degradation_Homo sapiens_hsa03018,2/77,0.33005084788153666,1.0,0,0,1.697648756472286,1.8818581646751582,PABPC5;EXOSC1,KEGG_2016
Aldosterone synthesis and secretion_Homo sapiens_hsa04925,2/81,0.3523503187014033,1.0,0,0,1.6138142499798274,1.683417049474968,CYP21A2;PLCB1,KEGG_2016
Signaling pathways regulating pluripotency of stem cells_Homo sapiens_hsa04550,3/142,0.3704345471271535,1.0,0,0,1.3808340237503451,1.3712765959372224,BMP2;ID4;BMPR1A,KEGG_2016
Mucin type O-Glycan biosynthesis_Homo sapiens_hsa00512,1/31,0.38018022475896907,1.0,0,0,2.1083702298123552,2.0390256441352963,GALNT13,KEGG_2016
mRNA surveillance pathway_Homo sapiens_hsa03015,2/91,0.4068498686211134,1.0,0,0,1.436472024707319,1.291835142938708,PABPC5;PPP2R5A,KEGG_2016
GnRH signaling pathway_Homo sapiens_hsa04912,2/91,0.4068498686211134,1.0,0,0,1.436472024707319,1.291835142938708,MAPK8;PLCB1,KEGG_2016
Morphine addiction_Homo sapiens_hsa05032,2/91,0.4068498686211134,1.0,0,0,1.436472024707319,1.291835142938708,CACNA1A;PDE8B,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,3/153,0.4157991143112168,1.0,0,0,1.2815583749839805,1.1246354397592553,BMP2;TP73;BMPR1A,KEGG_2016
African trypanosomiasis_Homo sapiens_hsa05143,1/35,0.417310360666234,1.0,0,0,1.8674136321195145,1.6319795776512098,PLCB1,KEGG_2016
"Alanine, aspartate and glutamate metabolism_Homo sapiens_hsa00250",1/35,0.417310360666234,1.0,0,0,1.8674136321195145,1.6319795776512098,CPS1,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,2/95,0.4280359200333024,1.0,0,0,1.3759889920880632,1.1675929296324978,PLCB1;GRIA4,KEGG_2016
Inflammatory mediator regulation of TRP channels_Homo sapiens_hsa04750,2/98,0.4436624033969721,1.0,0,0,1.3338668800853677,1.0840220868002783,MAPK8;PLCB1,KEGG_2016
AGE-RAGE signaling pathway in diabetic complications_Homo sapiens_hsa04933,2/101,0.4590500326397355,1.0,0,0,1.2942470717660002,1.0076956853551298,MAPK8;PLCB1,KEGG_2016
Chagas disease (American trypanosomiasis)_Homo sapiens_hsa05142,2/104,0.4741884355954117,1.0,0,0,1.2569130216189042,0.9378462705332906,MAPK8;PLCB1,KEGG_2016
