Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,Gene_set
Serotonergic synapse_Homo sapiens_hsa04726,2/112,0.02110790784317744,1.0,0,0,8.928571428571429,34.44738865548951,KCNJ5;ALOX15B,KEGG_2016
Arachidonic acid metabolism_Homo sapiens_hsa00590,1/62,0.11689718365152525,1.0,0,0,8.064516129032258,17.310165344679206,ALOX15B,KEGG_2016
TGF-beta signaling pathway_Homo sapiens_hsa04350,1/84,0.15508398180156174,1.0,0,0,5.952380952380952,11.09397911142091,BMP5,KEGG_2016
Morphine addiction_Homo sapiens_hsa05032,1/91,0.16689311403362564,1.0,0,0,5.494505494505495,9.837372017596037,KCNJ5,KEGG_2016
Circadian entrainment_Homo sapiens_hsa04713,1/95,0.17356877395262765,1.0,0,0,5.263157894736842,9.216744034104446,KCNJ5,KEGG_2016
Estrogen signaling pathway_Homo sapiens_hsa04915,1/99,0.1801922688656712,1.0,0,0,5.050505050505051,8.655206251537622,KCNJ5,KEGG_2016
Retrograde endocannabinoid signaling_Homo sapiens_hsa04723,1/101,0.18348457872210075,1.0,0,0,4.950495049504951,8.394181458814943,KCNJ5,KEGG_2016
Dopaminergic synapse_Homo sapiens_hsa04728,1/129,0.22824533973216898,1.0,0,0,3.875968992248062,5.726101461624818,KCNJ5,KEGG_2016
Osteoclast differentiation_Homo sapiens_hsa04380,1/132,0.2328967800057067,1.0,0,0,3.787878787878788,5.5195451812089775,SIRPG,KEGG_2016
Cell adhesion molecules (CAMs)_Homo sapiens_hsa04514,1/142,0.2482050180847828,1.0,0,0,3.5211267605633805,4.9066908046054225,SPN,KEGG_2016
Hippo signaling pathway_Homo sapiens_hsa04390,1/153,0.2647001066857073,1.0,0,0,3.2679738562091503,4.343652832370299,BMP5,KEGG_2016
Oxytocin signaling pathway_Homo sapiens_hsa04921,1/158,0.2720807124626986,1.0,0,0,3.1645569620253164,4.119166201609617,KCNJ5,KEGG_2016
Epstein-Barr virus infection_Homo sapiens_hsa05169,1/202,0.3339907223857725,1.0,0,0,2.4752475247524752,2.7144605536617297,SPN,KEGG_2016
Cytokine-cytokine receptor interaction_Homo sapiens_hsa04060,1/265,0.4137833965197082,1.0,0,0,1.8867924528301887,1.664929507328928,CD27,KEGG_2016
Metabolic pathways_Homo sapiens_hsa01100,1/1239,0.9227447727623715,1.0,0,0,0.4035512510088781,0.03244657059529396,ALOX15B,KEGG_2016
